,Unnamed: 0,index,maxAutoCorrelation,numberofTxns,stDevEosSent,numActiveDays,maxTxnsDay,minTxnsDay,avgTxnsPerActiveDays,numTxnsWeekdays,numTxnsWeekends,numActiveDaysWeekdays,numActiveWeekends,numActiveHours,maxTxnsHour,minTxnsHour,txnsPerActiveHour,numActiveHoursWeekdays,numActiveHoursWeekends,label,pred_y
149,149,ashtontyrese,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
150,150,aronnickolas,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
151,151,gradysincere,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
152,152,kylanroberto,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
153,153,laytonsawyer,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
154,154,austinreuben,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
155,155,derrickheath,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
156,156,cullenmartin,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
157,157,jonasgilbert,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
158,158,dorianyandel,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
159,159,zackarylewis,0.9253508166551646,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
160,160,bradenvaughn,0.966292660121552,32,0.0,31,2.0,0.0,1.032258064516129,21.0,6.0,21,5,32,1.0,0.0,1.0,21,6,,1.0
